Animal ID,Name,Outcome Type,Breed,Color,Year of Birth,Altered,Sex
A743852,Odin,Return to Owner,Labrador Retriever Mix,Chocolate,2015,Altered,Male
A721927,Francis,Adoption,Australian Cattle Dog/Chihuahua Shorthair,Tan/White,2015,Altered,Male
A763970,*Angelina,Adoption,Great Pyrenees Mix,White,2015,Altered,Female
A740958,Chiquito,Adoption,Chihuahua Shorthair Mix,Black/Tan,2012,Altered,Male
A773568,Lily,Return to Owner,Labrador Retriever Mix,Tan,2017,Altered,Female
A712208,Macklin,Adoption,Weimaraner/Labrador Retriever,Brown,2013,Altered,Male
A763206,*Roo,Adoption,Black/Tan Hound Mix,Red/White,2017,Altered,Male
A710461,*Laredo,Adoption,Labrador Retriever/Doberman Pinsch,Black/Tan,2015,Altered,Male
A749787,,Transfer,Labrador Retriever Mix,Brown/White,2017,Intact,Female
A721033,Lil Bit,Return to Owner,Rat Terrier Mix,Tricolor/Brown Brindle,2015,Altered,Male
A712802,Autumn,Return to Owner,Plott Hound Mix,Black Brindle/White,2015,Altered,Female
A712047,*Jasper,Transfer,Redbone Hound/Australian Cattle Dog,Tricolor,2014,Altered,Male
A673907,Sandy,Return to Owner,Great Pyrenees Mix,White/Tan,2012,Altered,Female
A731466,*Willa,Adoption,Labrador Retriever Mix,Brown Brindle,2009,Altered,Female
A717980,Purdy,Adoption,Dachshund Wirehair Mix,Cream,2014,Intact,Female
A678417,Pip,Adoption,Rat Terrier Mix,Tricolor,2012,Altered,Male
A694559,Khloe,Return to Owner,Chihuahua Shorthair Mix,Tan,2007,Altered,Female
A673104,Monkey,Adoption,Maltese Mix,White,2008,Altered,Female
A744523,,Adoption,Boxer Mix,Tan,2016,Altered,Female
A675066,Roxy,Transfer,Italian Greyhound Mix,Gray,2007,Altered,Female
A686131,Winston,Adoption,Leonberger Mix,Brown/White,2014,Intact,Male
A711233,Kami,Transfer,Dachshund Mix,Brown/White,2015,Intact,Female
A561226,Beaux,Return to Owner,Labrador Retriever/Rottweiler,Black/Tan,2009,Altered,Male
A713090,*Reyna,Adoption,German Shepherd Mix,Tan/Black,2012,Altered,Female
A683650,Lemmy,Adoption,American Pit Bull Terrier Mix,Fawn/Brown Brindle,2012,Altered,Male
A595039,Chula,Return to Owner,Chihuahua Shorthair,Tan,2010,Altered,Female
A733042,,Transfer,Labrador Retriever Mix,Red,2016,Altered,Female
A764861,,Transfer,Norwich Terrier Mix,Brown,2016,Altered,Male
A634176,Daisy,Return to Owner,Labrador Retriever/Beagle,Tan/White,2010,Altered,Female
A697018,Lola Bear,Adoption,German Shepherd Mix,Sable,2014,Altered,Female
A734202,,Transfer,Pit Bull Mix,Black Brindle,2016,Intact,Female
A683886,Toby,Euthanasia,Golden Retriever/Labrador Retriever,Red,2012,Intact,Male
A706958,,Euthanasia,German Shepherd Mix,Black,2012,Intact,Male
A677619,Jammer,Adoption,Australian Cattle Dog Mix,White/Black Brindle,2014,Altered,Male
A694142,*Trevor,Transfer,Pit Bull Mix,Tan/White,2012,Altered,Male
A588842,Rocky,Return to Owner,Chihuahua Shorthair Mix,Black/Brown,2007,Altered,Male
A690165,*Rudy,Adoption,Plott Hound Mix,Brown,2011,Altered,Male
A787438,,Adoption,Chihuahua Shorthair Mix,Black,2018,Altered,Female
A750582,Daisey,Adoption,Dalmatian Mix,White/Black,2016,Altered,Female
A765804,Migos,Transfer,Staffordshire Mix,Blue/White,2013,Altered,Male
A711372,Dixie,Return to Owner,Collie Rough Mix,Tricolor,2002,Altered,Female
A673323,Coco,Adoption,Chihuahua Shorthair Mix,Tan,2013,Altered,Female
A765659,Cappy,Return to Owner,Labrador Retriever Mix,Brown/White,2014,Altered,Male
A712928,Oreo,Transfer,Shih Tzu/Miniature Poodle,Black/White,2008,Intact,Male
A700839,*Turkey,Return to Owner,Pit Bull Mix,Blue,2014,Altered,Male
A786328,,Adoption,German Shepherd Mix,Tan/Black,2018,Altered,Female
A677672,,Transfer,Blue Lacy/American Bulldog,Red,2014,Intact,Male
A730624,Luna,Transfer,German Shepherd Mix,Cream/White,2014,Altered,Female
A697694,*Maggie,Adoption,Shetland Sheepdog/Cavalier Span,Black/White,2014,Altered,Female
A685237,Daphne,Adoption,Boxer,Tricolor,2008,Altered,Female
A766321,Luna,Return to Owner,Black Mouth Cur/German Shepherd,Brown/Black,2017,Intact,Female
A719758,Lucy,Return to Owner,Pit Bull Mix,Brown Brindle/White,2014,Altered,Female
A716733,Kleo,Return to Owner,Pit Bull Mix,White/Brown Brindle,2014,Altered,Female
A745423,Lola,Transfer,Toy Poodle Mix,Brown/White,2016,Intact,Female
A650694,Cooper,Return to Owner,Pit Bull/Blue Lacy,Blue/White,2012,Altered,Male
A729523,,Adoption,Labrador Retriever Mix,Black,2016,Altered,Male
A686015,,Transfer,Labrador Retriever/Pointer,Black/White,2014,Intact,Female
A677151,Bitsy,Adoption,Chihuahua Shorthair,Tan/White,2010,Altered,Female
A688387,*Haley,Adoption,Labrador Retriever Mix,Black,2012,Altered,Female
A780247,*Cookie,Transfer,Australian Cattle Dog Mix,Tricolor,2017,Intact,Female
A682838,Baby Doll,Transfer,Shih Tzu,White/Black,2008,Intact,Female
A700018,Avery Mae,Adoption,Cairn Terrier Mix,Silver/Chocolate,2013,Altered,Female
A724372,Princess,Transfer,Pit Bull Mix,White/Tan,2012,Altered,Female
A639311,*Pogo,Adoption,Chihuahua Longhair Mix,Brown,2009,Altered,Male
A728395,Russel,Adoption,Cardigan Welsh Corgi/Jack Russell Terrier,Tan/White,2012,Altered,Male
A704287,Bevo,Return to Owner,American Staffordshire Terrier Mix,White/Tan,2004,Intact,Male
A761300,Daisy,Adoption,Black Mouth Cur Mix,Brown/Black,2017,Altered,Female
A675662,*Duncan,Transfer,Dogo Argentino Mix,White,2011,Altered,Male
A673274,Pikachu,Adoption,German Shepherd Mix,Sable,2013,Altered,Male
A722936,Wesley,Return to Owner,Pit Bull Mix,Blue/White,2014,Altered,Male
A717715,Lucy,Adoption,Pointer Mix,Red Tick,2015,Altered,Female
A739370,Peppa,Return to Owner,German Shepherd,Tricolor,2016,Intact,Female
A786928,,Transfer,Labrador Retriever Mix,Yellow,2018,Altered,Male
A737814,Layla Ali,Return to Owner,Staffordshire Mix,Blue,2014,Intact,Female
A694697,Chase,Return to Owner,Chihuahua Shorthair Mix,Tan,2014,Altered,Male
A746062,Buttons,Adoption,Miniature Schnauzer Mix,White,2007,Altered,Female
A672998,Buster,Return to Owner,Rottweiler Mix,Black/Tan,2009,Altered,Male
A702345,*Gracie,Transfer,Border Collie Mix,Black,2015,Intact,Female
A723617,Roro,Return to Owner,Blue Lacy/Cardigan Welsh Corgi,Black,2012,Altered,Female
A679645,*Calvin,Euthanasia,Boxer/Queensland Heeler,White/Black,2013,Altered,Male
A724286,Obama,Adoption,German Shepherd,Brown/Black,2013,Altered,Male
A774215,*Chloe,Transfer,Chihuahua Shorthair Mix,Tan,2015,Altered,Female
A766190,*Chuck,Transfer,Pit Bull Mix,Chocolate/White,2011,Intact,Male
A679573,,Adoption,Border Collie Mix,Black/White,2012,Altered,Male
A699962,,Euthanasia,Chihuahua Shorthair Mix,Black/White,2005,Intact,Female
A756791,Rambo,Adoption,Boxer Mix,Red,2015,Altered,Male
A706259,Scout,Adoption,German Shepherd Mix,Brown/Black,2015,Altered,Male
A716755,Princess,Adoption,Maltese/Miniature Poodle,White,2014,Altered,Female
A669399,Sugar,Return to Owner,Pit Bull Mix,Fawn/White,2011,Altered,Female
A747750,Colorada,Adoption,Chihuahua Shorthair Mix,Tricolor,2016,Altered,Female
A714582,Buddy,Adoption,German Shepherd Mix,Sable,2013,Altered,Male
A719771,Bella,Return to Owner,Chihuahua Shorthair Mix,Black/Brown,2015,Altered,Female
A768180,*Loris,Adoption,Dachshund Longhair Mix,Cream,2014,Altered,Female
A743837,*Apache,Adoption,Dachshund Mix,Brown,2014,Intact,Male
A676745,Astro,Euthanasia,Kuvasz Mix,White,2012,Altered,Male
A775743,Henry,Adoption,Cairn Terrier Mix,Tan,2016,Altered,Male
A780474,Manchita,Return to Owner,Chihuahua Shorthair,White/Brown,2017,Altered,Female
A766204,Molly,Return to Owner,Great Pyrenees Mix,White,2017,Altered,Female
A689282,*Hannah,Transfer,Carolina Dog Mix,Brown,2014,Intact,Female
A691181,*Hollywood,Transfer,Pit Bull Mix,Fawn/White,2011,Altered,Male
A716872,Ginger,Adoption,Rat Terrier Mix,Tan/White,2005,Altered,Female
A756407,Juanita,Return to Owner,Basset Hound Mix,Tricolor,2015,Intact,Female
A736686,Madden,Return to Owner,Labrador Retriever Mix,Black,2014,Altered,Male
A664702,Harley,Return to Owner,Pit Bull Mix,White,2009,Altered,Male
A677395,Kamilla,Return to Owner,Chihuahua Shorthair Mix,Tricolor,2012,Intact,Female
A777396,*Paw Paw,Transfer,Labrador Retriever Mix,Black/White,2016,Intact,Male
A777077,,Return to Owner,Chihuahua Shorthair Mix,Tan/Cream,2018,Altered,Male
A681502,*Izy,Transfer,Australian Shepherd/Labrador Retriever,Tan/White,2014,Altered,Female
A700865,Jasmine,Euthanasia,Labrador Retriever Mix,Black,2014,Intact,Female
A542615,Dikembe,Return to Owner,Pit Bull Mix,Brown/Brown Brindle,2008,Altered,Male
A722147,*Jack,Adoption,Australian Cattle Dog Mix,Tan/White,2015,Altered,Male
A707253,Goowa,Return to Owner,Pit Bull Mix,Apricot/Brown,2012,Intact,Male
A683801,Hero,Adoption,Labrador Retriever/Pointer,Black/White,2014,Altered,Male
A768617,Ethel,Adoption,Chihuahua Shorthair Mix,Red/Brown,2017,Altered,Female
A781396,Pepper,Return to Owner,Jack Russell Terrier/Chihuahua Shorthair,Tricolor/Black,2018,Altered,Female
A761535,Flaca Chica,Adoption,Labrador Retriever/Australian Kelpie,Black,2016,Altered,Female
A785911,Bruiser,Adoption,Chihuahua Shorthair Mix,Tan/White,2015,Altered,Male
A785020,*Nacho,Adoption,Labrador Retriever/Australian Shepherd,Tan/White,2017,Altered,Female
A705729,*Anna,Transfer,Pit Bull Mix,Brown/White,2015,Intact,Female
A676892,Charlie,Adoption,Labrador Retriever/Australian Cattle Dog,Black,2013,Altered,Male
A648168,Rusty,Adoption,Chihuahua Shorthair Mix,Tan,2006,Altered,Male
A714340,*Bert,Adoption,Chihuahua Shorthair Mix,Brown/White,2013,Altered,Male
A706382,Meringue,Return to Owner,Siberian Husky Mix,Yellow,2011,Intact,Male
A755341,Charlie,Adoption,Labrador Retriever Mix,Black,2017,Altered,Female
A749612,*Prince,Adoption,Labrador Retriever Mix,White/Gray,2017,Altered,Male
A680563,Bella,Return to Owner,Dachshund,Tan/White,2010,Altered,Female
A631437,Scout,Transfer,Labrador Retriever Mix,Tan/White,2011,Altered,Male
A764909,,Adoption,Cardigan Welsh Corgi Mix,Black/White,2016,Altered,Male
A733289,,Adoption,Dachshund Longhair Mix,Black/Red,2014,Altered,Female
A782872,Firulais,Adoption,Chihuahua Shorthair Mix,Tan/White,2018,Altered,Male
A737767,,Transfer,Labrador Retriever Mix,Blue/White,2016,Intact,Female
A738866,Yoda,Return to Owner,Chihuahua Shorthair Mix,Black,2012,Altered,Male
A703174,*Fanny,Adoption,Border Collie/Labrador Retriever,Black/White,2014,Altered,Female
A616934,Rambo,Transfer,Pit Bull Mix,Blue/White,2010,Intact,Male
A688787,,Transfer,Labrador Retriever/Great Pyrenees,Buff,2010,Altered,Male
A728078,Eddy,Adoption,Queensland Heeler Mix,Blue Tick/Tan,2015,Altered,Male
A684903,*Gracie Lou,Adoption,Chihuahua Shorthair Mix,Tan,2008,Altered,Female
A675245,*Charles,Transfer,Dachshund Mix,Brown,2007,Altered,Male
A765806,,Adoption,Chihuahua Shorthair Mix,Black/Brown,2016,Altered,Female
A766743,,Adoption,Norfolk Terrier Mix,Black Brindle/Black,2015,Altered,Male
A777343,Bane,Transfer,Great Dane/Australian Cattle Dog,Black,2013,Altered,Male
A726099,Sparky,Euthanasia,Chihuahua Shorthair Mix,Chocolate/Tan,2013,Altered,Male
A668416,Romeo,Return to Owner,Labrador Retriever Mix,White/Tan,2011,Altered,Male
A696603,*Elsa,Adoption,German Shepherd Mix,Black/Tricolor,2013,Altered,Female
A737626,Zach Morris,Return to Owner,Black Mouth Cur/Pit Bull,Tan/Black,2012,Altered,Male
A723858,Stevie,Adoption,Labrador Retriever/Pit Bull,Black/White,2014,Altered,Female
A695069,Kayla,Transfer,Shih Tzu Mix,Gray,2007,Altered,Female
A721451,Pablo-Esco,Return to Owner,Pit Bull Mix,Tricolor/Blue,2015,Intact,Male
A699239,Koda,Adoption,Finnish Spitz Mix,Tan,2014,Altered,Male
A671862,Shippo,Adoption,Dachshund/Chihuahua Shorthair,Buff,2013,Altered,Male
A690499,,Adoption,Cairn Terrier/Chihuahua Longhair,Brown/Black,2012,Altered,Female
A699390,Roscco,Adoption,Chihuahua Shorthair Mix,Tricolor,2013,Altered,Male
A552088,Sasha,Adoption,Labrador Retriever Mix,Brown,2008,Altered,Female
A665220,,Transfer,Australian Cattle Dog Mix,Tricolor,2013,Intact,Male
A744204,Roscoe,Return to Owner,Labrador Retriever Mix,Yellow,2015,Intact,Male
A671344,,Euthanasia,Chihuahua Shorthair Mix,Black/Tan,2012,Intact,Male
A781416,*Olive,Transfer,Labrador Retriever Mix,Brown/White,2018,Intact,Female
A781760,Layla,Return to Owner,English Pointer Mix,Black/White,2017,Intact,Female
A740306,Aladdin,Adoption,Pit Bull Mix,Blue/White,2015,Altered,Male
A758488,Tyson,Transfer,Pit Bull Mix,Blue,2015,Intact,Male
A594793,Jake,Return to Owner,Manchester Terrier Mix,Black/Brown,2007,Altered,Male
A670828,Estrella,Transfer,Chihuahua Shorthair Mix,Tan,2011,Altered,Female
A717186,Max,Return to Owner,Labrador Retriever Mix,Tan/White,2014,Altered,Male
A678296,Si,Return to Owner,Pit Bull Mix,Blue,2012,Altered,Male
A708964,Jersey,Transfer,Cocker Spaniel/Miniature Poodle,Brown/Black,2015,Intact,Female
A711896,Canela,Transfer,Labrador Retriever/Rhod Ridgeback,Tan/White,2015,Altered,Female
A745450,Jack,Transfer,Labrador Retriever Mix,Black/White,2016,Altered,Male
A729505,Toby,Adoption,Pit Bull/Labrador Retriever,Black/White,2015,Altered,Male
A721103,Lulu,Adoption,Miniature Schnauzer Mix,Black/White,2015,Altered,Female
A785606,Ice,Adoption,Siberian Husky Mix,White,2016,Altered,Male
A784988,*Charlie,Adoption,Border Collie Mix,Black/White,2015,Altered,Female
A765058,,Transfer,Anatol Shepherd/Great Pyrenees,Sable/White,2017,Intact,Female
A730533,*Katy,Adoption,German Shepherd Mix,Sable,2016,Altered,Female
A765286,,Transfer,Miniature Poodle/Jack Russell Terrier,White,2017,Intact,Male
A718603,*Nova,Adoption,Labrador Retriever Mix,Black,2012,Altered,Female
A713239,Tila,Return to Owner,Pit Bull Mix,Fawn,2014,Intact,Female
A765192,*Raina,Transfer,Beagle Mix,Black/Brown,2016,Altered,Female
A779244,Frida,Adoption,Doberman Pinsch Mix,Black/Brown,2018,Altered,Female
A743486,Trunks,Adoption,Labrador Retriever Mix,Black/White,2016,Intact,Male
A706606,Boyd,Adoption,Australian Shepherd Mix,Buff/White,2015,Intact,Male
A690947,Princess,Return to Owner,Chihuahua Shorthair Mix,Tan,2013,Altered,Female
A696561,Zara,Adoption,Rat Terrier/Miniature Poodle,White/Brown,2014,Altered,Female
A713139,Bruno,Return to Owner,Pit Bull Mix,Black Brindle/White,2014,Altered,Male
A668282,Maddie,Adoption,Labrador Retriever/Greyhound,Black/White,2013,Altered,Female
A705950,*Desmond,Adoption,Pit Bull Mix,Blue/White,2013,Altered,Male
A665959,*Moomoo,Return to Owner,Siberian Husky Mix,Black/White,1998,Altered,Female
A676717,Zorrito,Return to Owner,Shih Tzu Mix,White/Black,2013,Altered,Male
A704592,*Doshia,Adoption,Pit Bull Mix,Blue/White,2013,Altered,Female
A730646,*Meisha,Adoption,Labrador Retriever Mix,Black,2016,Altered,Female
A670804,Domino,Return to Owner,Australian Kelpie/Labrador Retriever,Black/White,2012,Altered,Female
A742737,Duke,Adoption,German Shepherd Mix,Tan/Black,2015,Altered,Male
A742628,Scottie,Adoption,Labrador Retriever Mix,White/Tan,2016,Intact,Female
A765931,,Adoption,Cocker Spaniel Mix,White/Tan,2017,Altered,Male
A737021,,Transfer,Pit Bull Mix,Black,2016,Intact,Male
A721538,Blaze,Return to Owner,Pit Bull Mix,Chocolate/White,2015,Intact,Male
A716083,Chunk,Return to Owner,Rottweiler,Black/Brown,2015,Intact,Male
A699311,Eames,Return to Owner,German Shepherd Mix,Brown/Black,2013,Altered,Female
A719323,Waylon,Adoption,Australian Cattle Dog Mix,Tricolor,2014,Altered,Male
A736450,,Adoption,Labrador Retriever Mix,Black/White,2016,Altered,Female
A669639,Chona,Return to Owner,Plott Hound/Carolina Dog,Brown/Tan,2010,Altered,Female
A742983,Winnie,Transfer,Chihuahua Shorthair Mix,Chocolate/White,2016,Intact,Female
A691935,Bruno,Return to Owner,Pit Bull Mix,Brown/White,2011,Altered,Male
A667662,Tucker,Return to Owner,Maltese/Papillon,White/Black,2007,Altered,Male
A652840,Zooey,Adoption,German Shepherd/Australian Cattle Dog,Red Tick,2012,Altered,Female
A724068,Leonidas,Return to Owner,Akita Mix,Sable/White,2011,Intact,Male
A727081,Bubby,Return to Owner,Labrador Retriever Mix,Gold,2004,Intact,Male
A674954,Rusty,Adoption,Pointer/Australian Cattle Dog,White/Brown,2013,Altered,Male
A685084,*Hazel,Adoption,Boxer Mix,Black/White,2014,Altered,Female
A664175,*Daisy,Adoption,Basset Hound/Labrador Retriever,Tricolor,2009,Altered,Female
A698465,Pebbles,Return to Owner,Pit Bull Mix,White/Brown,2014,Altered,Female
A745362,Hopper,Transfer,Toy Poodle,Apricot,2011,Altered,Female
A681959,Sadie,Adoption,Australian Cattle Dog Mix,Tan/Black,2014,Altered,Female
A779336,,Euthanasia,Chihuahua Longhair Mix,Tan/White,2013,Intact,Female
A719983,*Caroline,Adoption,Australian Kelpie Mix,Black/Tan,2015,Altered,Female
A741061,Sugar,Return to Owner,Labrador Retriever Mix,Chocolate,2013,Intact,Female
A690761,Lyriq,Transfer,Rat Terrier Mix,White/Tan,2012,Altered,Female
A710094,*Bianca,Adoption,Pit Bull Mix,Brown Brindle/White,2014,Altered,Female
A707301,*Barnaby,Adoption,Pit Bull Mix,Brown,2014,Altered,Male
A685070,,Transfer,German Shepherd Mix,Black/Brown,2002,Altered,Female
A719715,Lambau,Adoption,Catahoula Mix,Brown/Tan,2015,Altered,Male
A699179,Twinkle,Transfer,Chihuahua Shorthair Mix,Black/White,2014,Intact,Female
A721795,,Adoption,Labrador Retriever/German Shepherd,Black/White,2015,Altered,Female
A782407,,Adoption,Boxer Mix,Black/White,2018,Altered,Male
A660841,*Tiger,Adoption,Catahoula/Chinese Sharpei,Brown Brindle,2011,Altered,Male
A628456,Tasha,Adoption,American Staffordshire Terrier Mix,Tan/White,2010,Altered,Female
A684119,Prince,Return to Owner,Chihuahua Shorthair Mix,Brown/White,2013,Altered,Male
A722184,Ridd,Transfer,Chihuahua Shorthair Mix,White/Tan,2010,Altered,Male
A768978,Bubba,Adoption,Great Pyrenees Mix,White/Red,2017,Altered,Male
A770919,,Adoption,Pbgv Mix,Tan/White,2017,Altered,Male
A764522,,Transfer,Labrador Retriever Mix,White/Black,2017,Intact,Male
A722255,*Mallory,Adoption,Labrador Retriever/Border Collie,Black,2015,Altered,Female
A676865,Rosie,Transfer,Chihuahua Shorthair Mix,Tan,2011,Altered,Female
A674347,,Euthanasia,Pit Bull Mix,Blue/White,2013,Intact,Male
A666802,,Transfer,Maltese Mix,White,2009,Altered,Male
A732128,Anastasia,Adoption,German Shepherd Mix,Tricolor/Brown,2012,Altered,Female
A707480,Scooby,Return to Owner,Dachshund/Chihuahua Shorthair,Brown,2012,Altered,Male
A762103,*Yoyo,Transfer,Pit Bull Mix,White,2012,Altered,Male
A673958,Kilo,Return to Owner,Pit Bull Mix,Blue/White,2012,Altered,Male
A695147,Canela,Transfer,Pit Bull Mix,Chocolate/White,2013,Altered,Female
A670497,Rock,Return to Owner,Pit Bull Mix,White/Brown Brindle,2012,Altered,Male
A709342,Gaston,Euthanasia,Dachshund Mix,Chocolate,2011,Altered,Male
A763663,Champ,Return to Owner,Australian Shepherd Mix,Black/White,2016,Altered,Male
A688145,Gracey,Transfer,German Shepherd Mix,Tan,2002,Intact,Female
A623762,Prince,Adoption,Chihuahua Shorthair Mix,Tricolor,2008,Altered,Male
A772448,Juno,Adoption,American Pit Bull Terrier Mix,Brown Brindle,2016,Altered,Female
A666994,*Trixie,Adoption,Boxer Mix,Black/White,2012,Altered,Female
A686947,,Transfer,Pit Bull Mix,Black/White,2014,Intact,Female
A724112,Hickory,Adoption,Rottweiler Mix,Black,2015,Altered,Male
A726474,*Nellie,Adoption,Catahoula/Plott Hound,Brown Brindle/White,2016,Altered,Female
A632969,Kane,Return to Owner,Pit Bull Mix,Brown Brindle/White,2012,Altered,Male
A693985,Max,Adoption,Basenji/Jack Russell Terrier,White/Brown,2013,Altered,Male
A748690,,Adoption,Flat Coat Retriever Mix,Black,2015,Altered,Female
A697554,*Jacob,Adoption,English Pointer Mix,Brown/White,2014,Altered,Male
A719117,Morocco,Return to Owner,Labrador Retriever Mix,Buff,2015,Altered,Male
A688278,,Adoption,German Shorthair Pointer/Australian Cattle Dog,Blue Tick,2014,Altered,Female
A689518,Charlie,Return to Owner,German Shorthair Pointer Mix,White/Black,2013,Altered,Male
A764174,Hannah,Return to Owner,Australian Cattle Dog Mix,Black/White,2005,Intact,Female
A684390,*Spencer,Adoption,Chihuahua Shorthair Mix,Buff/White,2009,Altered,Male
A644228,Arya,Adoption,German Shepherd Mix,Sable,2010,Altered,Female
A768876,*Dahlia,Adoption,Australian Cattle Dog/Border Collie,White/Brown,2017,Altered,Female
A755420,*Emma,Transfer,Australian Cattle Dog Mix,Black/Brown,2008,Intact,Female
A721103,Lulu,Adoption,Miniature Schnauzer Mix,Black/White,2015,Altered,Female
A378348,Frijolito,Adoption,German Shepherd Mix,Black/Brown,2004,Altered,Male
A693075,Charlie,Return to Owner,Labrador Retriever Mix,Brown Brindle,2011,Intact,Male
A674729,*Hannah,Transfer,Manchester Terrier Mix,Black/Tan,2011,Altered,Female
A690561,Sissy,Adoption,Pit Bull Mix,Brown Brindle/White,2013,Altered,Female
A759371,,Transfer,Labrador Retriever Mix,Yellow,2007,Altered,Male
A767957,Cookie,Return to Owner,Chihuahua Shorthair Mix,Black,2016,Intact,Female
A747904,Cleche,Return to Owner,Pit Bull Mix,Brown Tiger/White,2004,Intact,Female
A691113,*Maddie,Transfer,Labrador Retriever Mix,Tan/White,2014,Altered,Male
A784910,Molly,Return to Owner,German Shepherd Mix,Black/Tan,2016,Intact,Female
A731451,Jupiter,Adoption,Pointer Mix,White/Black,2015,Altered,Female
A738324,Stewart,Return to Owner,Pit Bull Mix,Black/White,2013,Intact,Male
A713954,Baby,Euthanasia,American Bulldog Mix,Yellow Brindle/White,2013,Intact,Female
A774775,,Adoption,German Shepherd Mix,Black/Tan,2018,Altered,Male
A666602,,Transfer,Beagle/Chihuahua Shorthair,White,2013,Intact,Female
A677496,Weasel,Adoption,Chihuahua Shorthair Mix,Black/Brown,2013,Altered,Male
A737537,*Hank,Adoption,Pit Bull Mix,Blue/White,2015,Altered,Male
A726701,Yao,Adoption,German Shepherd/Chow Chow,Tan/Gray,2001,Intact,Male
A699604,Molly,Euthanasia,American Pit Bull Terrier Mix,White/Brown,2013,Altered,Female
A677312,Tiger,Adoption,Maltese/Chihuahua Shorthair,White/Buff,2011,Altered,Male
A727113,*Vernon,Adoption,Labrador Retriever Mix,Black,2009,Altered,Male
A677733,Reese,Transfer,Carolina Dog Mix,Tan/White,2010,Altered,Female
A785859,,Adoption,Pit Bull Mix,Brown Brindle/White,2018,Altered,Female
A692533,*Sadie,Transfer,Blue Lacy Mix,Black Brindle/White,2013,Altered,Female
A761255,Beau,Return to Owner,Staffordshire Mix,Black/White,2016,Altered,Male
A718877,Blacky,Return to Owner,Labrador Retriever Mix,Black/White,2015,Altered,Male
A782678,Nico Rosco,Adoption,Australian Cattle Dog Mix,Red Merle,2018,Altered,Male
A753254,Tina,Return to Owner,Pit Bull Mix,Brown/White,2016,Intact,Female
A700418,Woodrow,Return to Owner,Queensland Heeler/Chihuahua Shorthair,Blue Merle/Tan,2013,Altered,Male
A696706,Don Juan,Transfer,Lhasa Apso Mix,Black/White,2012,Intact,Male
A717589,Sybil,Adoption,Basenji Mix,Tan/White,2009,Altered,Female
A732861,Fozzy,Return to Owner,Collie Smooth Mix,Black/White,2013,Intact,Male
A680421,*Dori,Adoption,German Shepherd Mix,Tan,2013,Altered,Female
A621477,Gracie,Adoption,Great Pyrenees/Australian Shepherd,Tricolor,2011,Altered,Female
A664051,*Harmony,Adoption,Labrador Retriever Mix,White,2012,Altered,Female
A665066,Gigi,Adoption,Border Collie/Chow Chow,Black,2009,Altered,Female
A720337,,Adoption,Labrador Retriever Mix,Black,2015,Altered,Female
A767770,Dolly,Transfer,Chihuahua Shorthair Mix,White,2011,Intact,Female
A698817,*Charlie,Adoption,Chihuahua Shorthair,Tricolor,2014,Altered,Male
A777984,Remington,Adoption,Border Terrier Mix,Fawn/White,2017,Altered,Male
A742054,Poppa,Adoption,Border Collie Mix,Black/White,2016,Altered,Male
A741582,Scarlet,Adoption,Labrador Retriever Mix,Black,2016,Altered,Female
A771298,*Tamale,Adoption,Labrador Retriever Mix,Black,2017,Altered,Male
A763396,Chiquillin,Return to Owner,Pit Bull Mix,Blue/White,2017,Intact,Male
A700504,*Bessie,Adoption,American Pit Bull Terrier Mix,Blue/White,2013,Altered,Female
A759528,,Adoption,Chihuahua Shorthair Mix,Black/White,2017,Altered,Female
A764081,*Sunny,Adoption,Cocker Spaniel Mix,Blue/White,2015,Altered,Female
A730232,Layla,Adoption,Australian Shepherd Mix,Blue Tick/Black,2016,Altered,Female
A786424,Rex,Return to Owner,Norwich Terrier/Australian Cattle Dog,Tan/White,2011,Altered,Male
A695521,Nacho,Adoption,Chihuahua Shorthair Mix,Brown,2006,Altered,Male
A777739,,Transfer,Doberman Pinsch,Black/Tan,2016,Altered,Male
A738991,,Adoption,Rat Terrier Mix,Tan,2015,Altered,Male
A751525,Woody,Adoption,Cocker Spaniel/Pembroke Welsh Corgi,Black/Brown,2016,Altered,Male
A637206,Rex,Return to Owner,Rottweiler Mix,Black/Tan,2011,Altered,Male
A759676,,Adoption,Chihuahua Shorthair Mix,Brown,2016,Altered,Male
A766842,,Adoption,Labrador Retriever Mix,White/Brown,2017,Altered,Female
A690754,,Adoption,Queensland Heeler Mix,Brown Merle,2014,Altered,Female
A721626,Lucero,Transfer,Australian Cattle Dog Mix,Red Tick,2015,Altered,Female
A694731,*Miley,Transfer,Miniature Schnauzer Mix,Gray,2009,Altered,Female
A767352,Rocky,Adoption,Siberian Husky Mix,Black/White,2016,Altered,Male
A776084,Guppy,Transfer,Welsh Terrier,Tan/White,2016,Altered,Male
A760269,,Adoption,Australian Shepherd Mix,White/Brown,2017,Altered,Male
A692182,Cruz,Return to Owner,Border Collie/Dachshund,Black,2014,Altered,Male
A699577,Joy,Adoption,Pit Bull Mix,Blue/White,2014,Altered,Female
A675649,Anna Nicole,Return to Owner,Yorkshire Terrier Mix,White/Brown,2013,Altered,Female
A762303,,Transfer,Chihuahua Shorthair Mix,Tan,2017,Intact,Female
A756421,Entei,Return to Owner,Basset Hound Mix,Brown,2015,Intact,Male
A761808,Mary,Return to Owner,Pit Bull Mix,Blue/White,2015,Intact,Female
