Animal ID,Name,Outcome Type,Breed,Color,Year of Birth,Altered,Sex
A667311,Promise,Adoption,Labrador Retriever Mix,Yellow,2013,Altered,Female
A740022,*Lucy,Adoption,Maltese Mix,White,2015,Altered,Female
A696236,*Ollie,Transfer,Australian Cattle Dog/Labrador Retriever,Black,2013,Intact,Male
A777720,*Meryl,Transfer,Pit Bull Mix,Brown Brindle/White,2018,Intact,Female
A742265,,Transfer,Miniature Poodle Mix,Black,2015,Altered,Female
A690699,Minnie,Transfer,Chihuahua Shorthair Mix,Blue/Tan,2014,Intact,Female
A778512,*Lily,Adoption,Border Collie/Labrador Retriever,Black/White,2017,Altered,Female
A519888,Luke,Euthanasia,Labrador Retriever/Beagle,Tan/Black,2008,Altered,Male
A695988,*Vinnie,Transfer,Pit Bull Mix,Tan/White,2013,Altered,Male
A775275,Ripley,Adoption,Labrador Retriever Mix,Tan/White,2016,Altered,Female
A669918,,Adoption,Labrador Retriever Mix,Tan/White,2013,Altered,Female
A726929,Lobo,Adoption,Australian Shepherd Mix,Black/Tricolor,2013,Altered,Male
A711918,*Jaqueline,Adoption,Staffordshire Mix,Red,2012,Altered,Female
A780404,Canela,Return to Owner,Chihuahua Shorthair,White/Tan,2017,Altered,Female
A767065,*Sheldon,Adoption,Cardigan Welsh Corgi Mix,Tricolor,2017,Altered,Male
A778652,,Adoption,Pit Bull Mix,Black/White,2018,Altered,Female
A767749,*Kane,Adoption,Labrador Retriever/Pit Bull,Black/White,2018,Altered,Male
A777659,*Brie,Transfer,Greyhound Mix,Brown Brindle/White,2015,Intact,Female
A718612,Alfie,Adoption,Soft Coated Wheaten Terrier Mix,Cream/Gray,2014,Altered,Male
A787097,,Transfer,Chihuahua Shorthair Mix,White/Black,2016,Intact,Male
A678098,Shades,Adoption,Labrador Retriever Mix,Black/White,2002,Altered,Male
A677038,*Penny,Adoption,Chihuahua Shorthair Mix,Buff,2012,Altered,Female
A665344,Ginger,Adoption,Chihuahua Shorthair Mix,Red/White,2009,Altered,Female
A775710,,Adoption,German Shepherd/Cardigan Welsh Corgi,Cream/Black,2017,Altered,Female
A734876,*Lolly,Adoption,Labrador Retriever Mix,Brown Brindle,2016,Altered,Female
A675394,*Josh,Transfer,Miniature Pinscher Mix,Black/White,2012,Intact,Male
A679304,Sheila,Adoption,German Shepherd Mix,Brown/Black,2014,Altered,Female
A699391,Rocket,Adoption,Chihuahua Shorthair Mix,Tricolor,2013,Altered,Male
A743033,Tucker,Adoption,Labrador Retriever Mix,Brown/White,2016,Altered,Male
A739224,Chula,Adoption,Chihuahua Shorthair/Dachshund,Tan,2012,Altered,Female
A673439,Aria,Adoption,Cardigan Welsh Corgi/English Setter,White/Black,2013,Altered,Female
A700407,Malo,Return to Owner,Labrador Retriever Mix,Black,2014,Altered,Male
A647382,Oreo,Adoption,Border Collie Mix,Black/White,2010,Altered,Female
A660098,Delilah,Transfer,Pit Bull Mix,Brown Merle/White,2011,Altered,Female
A787312,Chaco,Return to Owner,Labrador Retriever Mix,Black/White,2018,Intact,Male
A784275,Scooby,Return to Owner,German Shepherd Mix,Tan/Black,2017,Intact,Male
A693005,Lex,Return to Owner,Boxer Mix,Brown,2013,Altered,Male
A777579,,Adoption,Pit Bull Mix,White/Black,2018,Altered,Male
A711535,Kyra,Adoption,Pit Bull Mix,Fawn/White,2014,Altered,Female
A545127,Ittybitty,Euthanasia,Pit Bull Mix,Black/White,2007,Altered,Female
A773845,Daisy,Adoption,Chihuahua Shorthair Mix,Tan/White,2017,Altered,Female
A774771,,Adoption,Alaskan Husky Mix,Chocolate/Cream,2017,Altered,Male
A688352,*Brody,Adoption,Parson Russell Terrier Mix,White/Brown Brindle,2009,Altered,Male
A661023,Lucky,Adoption,Miniature Poodle Mix,White,2010,Altered,Male
A673648,Coco,Return to Owner,Pit Bull Mix,White/Brown,2011,Intact,Female
A674466,,Transfer,Pit Bull Mix,Fawn,2014,Intact,Male
A742392,Bear,Adoption,Flat Coat Retriever Mix,Black,2015,Altered,Male
A784017,Quill,Adoption,Labrador Retriever Mix,White/Black,2018,Altered,Male
A728206,Lil Girl,Return to Owner,German Shepherd Mix,Black/Tan,2015,Altered,Female
A702743,Jackson,Adoption,Labrador Retriever Mix,Black/White,2015,Altered,Male
A753659,Lola,Adoption,Siberian Husky Mix,White,2016,Altered,Female
A677479,Tinker Bell,Adoption,Chihuahua Shorthair Mix,Brown/White,2013,Altered,Female
A722423,*Tonto,Transfer,German Shepherd Mix,Black,2012,Altered,Male
A637480,Cal,Return to Owner,Miniature Schnauzer Mix,Black,2012,Altered,Male
A720535,*Rudy,Adoption,Blue Lacy,Blue/Tan,2015,Altered,Male
A587278,Schroeder,Adoption,German Shepherd Mix,Black/Brown,2010,Altered,Male
A711429,*Miles,Adoption,Labrador Retriever Mix,Black,2013,Altered,Male
A696418,Huckleberry,Adoption,Black/Tan Hound Mix,Brown/Black,2014,Altered,Male
A737490,,Transfer,Cairn Terrier Mix,Tan/White,2016,Intact,Male
A653813,Ladybird,Return to Owner,German Shepherd Mix,Black/Cream,2001,Altered,Female
A725338,,Adoption,Chihuahua Shorthair Mix,Brown/Black,2016,Altered,Male
A664116,Maggie,Adoption,Australian Shepherd/Australian Cattle Dog,Blue Merle/White,2012,Altered,Female
A730313,*Sam,Transfer,Miniature Poodle Mix,Tan,2015,Intact,Male
A738734,Hogan,Return to Owner,Labrador Retriever Mix,Black/White,2015,Altered,Male
A780019,,Adoption,Miniature Poodle,Gray,2011,Altered,Female
A785549,Coco,Return to Owner,Basset Hound Mix,Brown Brindle/White,2014,Altered,Female
A734306,*Alfie,Adoption,Miniature Pinscher/Chihuahua Shorthair,Black/Tan,2013,Altered,Male
A706608,Harvey,Adoption,Australian Shepherd Mix,Tricolor,2015,Intact,Male
A778913,,Adoption,Labrador Retriever Mix,Brown Brindle/White,2018,Altered,Male
A676606,*Boudreaux,Transfer,Basenji/Chihuahua Longhair,Red/White,2013,Altered,Male
A783364,Flip,Return to Owner,Miniature Schnauzer Mix,Brown/Black,2010,Altered,Male
A720167,Fynn,Adoption,Golden Retriever/Pembroke Welsh Corgi,Yellow,2013,Altered,Male
A696608,Brownie,Transfer,Labrador Retriever,Chocolate,2014,Altered,Male
A700681,Ophelia,Adoption,Akita/Siberian Husky,Tan/White,2014,Altered,Female
A666831,Sam,Adoption,Chihuahua Shorthair Mix,Buff,2012,Altered,Male
A740874,*Fig,Adoption,Chihuahua Shorthair Mix,Tan,2005,Altered,Male
A641520,Toby,Adoption,Whippet Mix,Fawn,2011,Altered,Male
A739004,Kali,Return to Owner,Labrador Retriever Mix,Black/White,2016,Altered,Female
A758403,,Return to Owner,Pit Bull Mix,Blue/White,2012,Intact,Male
A768756,*Duke,Adoption,German Shepherd Mix,Black,2017,Altered,Male
A619328,Tobi,Return to Owner,Labrador Retriever,Tan,2011,Altered,Male
A688079,Honey,Return to Owner,Labrador Retriever Mix,Yellow,2004,Altered,Female
A732114,Ginger,Adoption,Cairn Terrier/Italian Greyhound,Tan,2015,Altered,Female
A721033,Lil Bit,Return to Owner,Rat Terrier Mix,Tricolor/Brown Brindle,2015,Altered,Male
A739234,Toby,Transfer,Miniature Poodle Mix,Apricot,2010,Altered,Male
A756790,Chloe,Adoption,Labrador Retriever,Black,2016,Altered,Female
A683939,*Maddie,Transfer,Pit Bull Mix,Blue/White,2014,Altered,Female
A710377,,Adoption,Rat Terrier,Tan,2015,Altered,Female
A742557,Yuffie,Return to Owner,Cairn Terrier Mix,Black Smoke/Gray,2016,Altered,Female
A739913,*Mack,Adoption,Pit Bull Mix,Brown/Black,2014,Altered,Male
A694407,Max,Adoption,Pit Bull Mix,Black/White,2013,Altered,Male
A727347,*Bach,Transfer,Beagle Mix,Tricolor,2013,Intact,Female
A741032,,Adoption,German Shepherd Mix,Tan/White,2016,Altered,Female
A682652,,Transfer,Siberian Husky/German Shepherd,White,2014,Intact,Male
A710347,Lulu,Return to Owner,Labrador Retriever Mix,Black,2014,Altered,Female
