Animal ID,Outcome Type,Breed,Color,Altered,Sex,HasName,AgeRange,MixedBreed,MixedColor,StrayHold
A519888,Died,Labrador Retriever,Tan,Altered,Male,1,Senior,1,1,0
A695988,Transfer,Pit Bull,Tan,Altered,Male,1,Adult,1,1,1
A775275,Adoption,Labrador Retriever,Tan,Altered,Female,1,Young,1,1,0
A669918,Adoption,Labrador Retriever,Tan,Altered,Female,0,Adult,1,1,0
A726929,Adoption,Rare,Black,Altered,Male,1,Adult,1,1,0
A711918,Adoption,Rare,Red,Altered,Female,1,Adult,1,0,1
A780404,Return to Owner,Chihuahua Shorthair,White,Altered,Female,1,Young,0,1,0
A767065,Adoption,Rare,Tricolor,Altered,Male,1,Young,1,0,1
A778652,Adoption,Pit Bull,Black,Altered,Female,0,Young,1,1,0
A767749,Adoption,Labrador Retriever,Black,Altered,Male,1,Young,1,1,1
A777659,Transfer,Rare,Brown Brindle,Intact,Female,1,Young,1,1,1
A718612,Adoption,Rare,Rare,Altered,Male,1,Adult,1,1,0
A787097,Transfer,Chihuahua Shorthair,White,Intact,Male,0,Young,1,1,0
A678098,Adoption,Labrador Retriever,Black,Altered,Male,1,Senior,1,1,0
A677038,Adoption,Chihuahua Shorthair,Rare,Altered,Female,1,Adult,1,0,1
A665344,Adoption,Chihuahua Shorthair,Red,Altered,Female,1,Adult,1,1,0
A775710,Adoption,German Shepherd,Rare,Altered,Female,0,Young,1,1,0
A734876,Adoption,Labrador Retriever,Brown Brindle,Altered,Female,1,Young,1,0,1
A675394,Transfer,Rare,Black,Intact,Male,1,Adult,1,1,1
A679304,Adoption,German Shepherd,Brown,Altered,Female,1,Adult,1,1,0
A699391,Adoption,Chihuahua Shorthair,Tricolor,Altered,Male,1,Adult,1,0,0
A743033,Adoption,Labrador Retriever,Brown,Altered,Male,1,Young,1,1,0
A739224,Adoption,Chihuahua Shorthair,Tan,Altered,Female,1,Adult,1,0,0
A673439,Adoption,Rare,White,Altered,Female,1,Adult,1,1,0
A700407,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Adult,1,0,0
A647382,Adoption,Rare,Black,Altered,Female,1,Adult,1,1,0
A660098,Transfer,Pit Bull,Rare,Altered,Female,1,Adult,1,1,0
A787312,Return to Owner,Labrador Retriever,Black,Intact,Male,1,Young,1,1,0
A784275,Return to Owner,German Shepherd,Tan,Intact,Male,1,Young,1,1,0
A693005,Return to Owner,Rare,Brown,Altered,Male,1,Adult,1,0,0
A777579,Adoption,Pit Bull,White,Altered,Male,0,Young,1,1,0
A711535,Adoption,Pit Bull,Rare,Altered,Female,1,Adult,1,1,0
A545127,Died,Pit Bull,Black,Altered,Female,1,Senior,1,1,0
A773845,Adoption,Chihuahua Shorthair,Tan,Altered,Female,1,Young,1,1,0
A774771,Adoption,Rare,Rare,Altered,Male,0,Young,1,1,0
A688352,Adoption,Rare,White,Altered,Male,1,Adult,1,1,1
A661023,Adoption,Rare,White,Altered,Male,1,Adult,1,0,0
A673648,Return to Owner,Pit Bull,White,Intact,Female,1,Adult,1,1,0
A674466,Transfer,Pit Bull,Rare,Intact,Male,0,Adult,1,0,0
A742392,Adoption,Rare,Black,Altered,Male,1,Young,1,0,0
A784017,Adoption,Labrador Retriever,White,Altered,Male,1,Young,1,1,0
A728206,Return to Owner,German Shepherd,Black,Altered,Female,1,Young,1,1,0
A702743,Adoption,Labrador Retriever,Black,Altered,Male,1,Young,1,1,0
A753659,Adoption,Rare,White,Altered,Female,1,Young,1,0,0
A677479,Adoption,Chihuahua Shorthair,Brown,Altered,Female,1,Adult,1,1,0
A722423,Transfer,German Shepherd,Black,Altered,Male,1,Adult,1,0,1
A637480,Return to Owner,Rare,Black,Altered,Male,1,Adult,1,0,0
A720535,Adoption,Rare,Blue,Altered,Male,1,Young,0,1,1
A587278,Adoption,German Shepherd,Black,Altered,Male,1,Adult,1,1,0
A711429,Adoption,Labrador Retriever,Black,Altered,Male,1,Adult,1,0,1
A696418,Adoption,Rare,Brown,Altered,Male,1,Adult,1,1,0
A737490,Transfer,Rare,Tan,Intact,Male,0,Young,1,1,0
A653813,Return to Owner,German Shepherd,Black,Altered,Female,1,Senior,1,1,0
A725338,Adoption,Chihuahua Shorthair,Brown,Altered,Male,0,Young,1,1,0
A664116,Adoption,Rare,Rare,Altered,Female,1,Adult,1,1,0
A730313,Transfer,Rare,Tan,Intact,Male,1,Young,1,0,1
A738734,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Young,1,1,0
A780019,Adoption,Rare,Rare,Altered,Female,0,Adult,0,0,0
A785549,Return to Owner,Rare,Brown Brindle,Altered,Female,1,Adult,1,1,0
A734306,Adoption,Rare,Black,Altered,Male,1,Adult,1,1,1
A706608,Adoption,Rare,Tricolor,Intact,Male,1,Young,1,0,0
A778913,Adoption,Labrador Retriever,Brown Brindle,Altered,Male,0,Young,1,1,0
A676606,Transfer,Rare,Red,Altered,Male,1,Adult,1,1,1
A783364,Return to Owner,Rare,Brown,Altered,Male,1,Adult,1,1,0
A720167,Adoption,Rare,Rare,Altered,Male,1,Adult,1,0,0
A696608,Transfer,Labrador Retriever,Rare,Altered,Male,1,Adult,0,0,0
A700681,Adoption,Rare,Tan,Altered,Female,1,Adult,1,1,0
A666831,Adoption,Chihuahua Shorthair,Rare,Altered,Male,1,Adult,1,0,0
A740874,Adoption,Chihuahua Shorthair,Tan,Altered,Male,1,Senior,1,0,1
A641520,Adoption,Rare,Rare,Altered,Male,1,Adult,1,0,0
A739004,Return to Owner,Labrador Retriever,Black,Altered,Female,1,Young,1,1,0
A758403,Return to Owner,Pit Bull,Blue,Intact,Male,0,Adult,1,1,0
A768756,Adoption,German Shepherd,Black,Altered,Male,1,Young,1,0,1
A619328,Return to Owner,Labrador Retriever,Tan,Altered,Male,1,Adult,0,0,0
A688079,Return to Owner,Labrador Retriever,Rare,Altered,Female,1,Senior,1,0,0
A732114,Adoption,Rare,Tan,Altered,Female,1,Young,1,0,0
A721033,Return to Owner,Rare,Tricolor,Altered,Male,1,Young,1,1,0
A739234,Transfer,Rare,Rare,Altered,Male,1,Adult,1,0,0
A756790,Adoption,Labrador Retriever,Black,Altered,Female,1,Young,0,0,0
A683939,Transfer,Pit Bull,Blue,Altered,Female,1,Adult,1,1,1
A710377,Adoption,Rare,Tan,Altered,Female,0,Young,0,0,0
A742557,Return to Owner,Rare,Rare,Altered,Female,1,Young,1,1,0
A739913,Adoption,Pit Bull,Brown,Altered,Male,1,Adult,1,1,1
A694407,Adoption,Pit Bull,Black,Altered,Male,1,Adult,1,1,0
A727347,Transfer,Rare,Tricolor,Intact,Female,1,Adult,1,0,1
A741032,Adoption,German Shepherd,Tan,Altered,Female,0,Young,1,1,0
A682652,Transfer,Rare,White,Intact,Male,0,Adult,1,0,0
A710347,Return to Owner,Labrador Retriever,Black,Altered,Female,1,Adult,1,0,0
A741582,Adoption,Labrador Retriever,Black,Altered,Female,1,Young,1,0,0
A736018,Transfer,Rare,Black,Intact,Female,0,Young,1,0,0
A743123,Adoption,Pit Bull,Brown Brindle,Altered,Female,1,Young,1,0,0
A743861,Transfer,Rare,White,Unknown,Unknown,0,Young,1,0,0
A754577,Transfer,Chihuahua Shorthair,White,Intact,Female,1,Young,1,1,0
A787183,Return to Owner,German Shepherd,Brown,Altered,Female,1,Young,1,1,0
A710709,Adoption,Rare,Black,Altered,Female,1,Senior,1,1,1
A681179,Transfer,Rare,Rare,Altered,Male,1,Adult,1,1,0
A739105,Adoption,Rare,Rare,Altered,Female,0,Adult,1,0,0
A726450,Died,Labrador Retriever,Black,Altered,Male,1,Senior,1,0,0
A783798,Transfer,Rare,Black,Intact,Male,0,Young,1,1,0
A755926,Return to Owner,Rare,White,Altered,Male,1,Young,1,1,0
A698650,Adoption,Rare,Tan,Altered,Male,0,Adult,1,1,0
A730568,Adoption,Pit Bull,Brown,Altered,Male,1,Adult,1,1,0
A674267,Adoption,Chihuahua Shorthair,Brown,Altered,Female,1,Adult,1,0,1
A776726,Adoption,Chihuahua Shorthair,Tan,Altered,Male,0,Young,1,1,0
A742273,Adoption,Labrador Retriever,Brown,Altered,Female,1,Young,1,0,1
A781579,Adoption,Chihuahua Shorthair,Tan,Altered,Female,0,Young,1,1,0
A731085,Adoption,Chihuahua Shorthair,Brown,Altered,Female,1,Adult,1,1,0
A776337,Adoption,Rare,Black,Altered,Male,1,Young,1,1,1
A775354,Adoption,Rare,Black,Altered,Male,0,Adult,1,1,0
A767049,Transfer,Rare,Tricolor,Altered,Male,1,Senior,1,0,0
A781093,Adoption,German Shepherd,Tricolor,Intact,Female,0,Young,1,0,0
A670730,Transfer,German Shepherd,Rare,Intact,Male,0,Adult,1,0,0
A726768,Adoption,Rare,Tricolor,Altered,Male,1,Adult,1,1,0
A718491,Transfer,Pit Bull,Blue,Altered,Female,1,Senior,1,1,1
A642225,Adoption,Rare,Black,Altered,Female,1,Adult,1,1,0
A669064,Adoption,Labrador Retriever,Black,Altered,Male,0,Adult,1,1,0
A697825,Return to Owner,Pit Bull,Blue,Altered,Male,1,Adult,1,1,0
A772489,Adoption,Chihuahua Shorthair,Black,Altered,Male,0,Young,1,1,0
A744989,Adoption,Chihuahua Shorthair,Tan,Altered,Female,0,Young,1,0,0
A680147,Transfer,Labrador Retriever,Rare,Intact,Female,0,Adult,1,0,0
A765035,Adoption,Pit Bull,Black,Altered,Male,1,Young,1,1,1
A701427,Adoption,Chihuahua Shorthair,Blue,Altered,Female,1,Young,1,1,0
A764634,Adoption,Labrador Retriever,Rare,Altered,Male,1,Young,1,1,0
A667384,Adoption,Pit Bull,White,Altered,Female,0,Adult,1,1,0
A605129,Transfer,Labrador Retriever,Black,Altered,Male,1,Adult,1,1,0
A695180,Return to Owner,Rare,Red,Altered,Male,1,Adult,1,1,0
A740735,Adoption,Rare,Brown Brindle,Altered,Female,1,Young,1,1,0
A707043,Adoption,Rare,Red,Altered,Female,0,Young,1,1,0
A709189,Adoption,Pit Bull,Black,Altered,Male,0,Young,1,1,0
A737210,Return to Owner,Rare,Tricolor,Intact,Male,1,Senior,1,0,0
A697098,Transfer,German Shepherd,Black,Intact,Female,0,Young,1,1,0
A671481,Adoption,Chihuahua Shorthair,Black,Intact,Female,1,Adult,1,1,0
A674053,Adoption,German Shepherd,Tan,Altered,Male,1,Adult,1,0,0
A724834,Adoption,Chihuahua Shorthair,White,Altered,Female,1,Young,1,1,0
A744897,Adoption,Labrador Retriever,White,Altered,Female,1,Young,1,0,0
A746746,Adoption,Rare,Black,Altered,Male,1,Young,1,1,1
A749222,Died,Rare,Black,Intact,Male,0,Young,1,0,0
A676932,Transfer,Rare,Black,Altered,Male,0,Senior,1,1,0
A738616,Transfer,Rare,White,Altered,Female,0,Young,1,0,0
A750288,Return to Owner,Labrador Retriever,Rare,Intact,Male,1,Young,1,0,0
A717602,Return to Owner,Rare,Black,Intact,Male,1,Young,1,1,0
A632028,Return to Owner,Rare,White,Altered,Female,1,Adult,1,0,0
A765810,Transfer,Rare,Brown Brindle,Intact,Male,0,Adult,1,0,0
A663592,Adoption,Rare,Brown,Altered,Male,1,Adult,1,0,0
A739446,Adoption,Rare,White,Intact,Male,1,Adult,1,0,0
A783528,Transfer,Rare,White,Intact,Female,0,Young,1,1,0
A689091,Adoption,Pit Bull,Black,Altered,Female,1,Adult,1,0,1
A624436,Return to Owner,Rare,White,Altered,Male,1,Adult,1,1,0
A731911,Return to Owner,Australian Cattle Dog,Black,Intact,Male,1,Young,1,1,0
A562649,Died,Rare,White,Altered,Female,0,Senior,1,1,0
A743147,Adoption,Rare,Blue,Altered,Female,1,Young,1,1,0
A734520,Transfer,Pit Bull,Tan,Altered,Male,1,Young,1,1,0
A737680,Return to Owner,Pit Bull,Blue,Intact,Female,1,Adult,1,0,0
A672216,Transfer,Rare,Black,Altered,Male,1,Adult,0,1,0
A749833,Return to Owner,Rare,Tricolor,Altered,Male,1,Adult,1,0,0
A786554,Transfer,Chihuahua Shorthair,Black,Intact,Female,0,Young,1,1,0
A708139,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Senior,1,0,0
A762456,Transfer,German Shepherd,Black,Unknown,Unknown,0,Young,1,1,0
A693547,Adoption,Rare,White,Altered,Male,1,Adult,1,1,0
A668644,Adoption,Chihuahua Shorthair,White,Altered,Male,1,Adult,1,1,0
A734209,Transfer,Rare,White,Altered,Male,1,Senior,1,0,0
A685916,Adoption,Labrador Retriever,White,Altered,Female,1,Adult,1,1,0
A717299,Return to Owner,Rare,Red,Altered,Female,1,Adult,1,1,0
A719326,Adoption,Rare,Black,Altered,Male,1,Adult,1,1,1
A688904,Transfer,German Shepherd,Tan,Altered,Female,1,Adult,1,1,1
A686842,Died,Rare,Rare,Altered,Male,1,Adult,0,1,1
A722124,Transfer,Rare,Brown,Altered,Female,1,Adult,1,1,0
A694984,Adoption,Rare,Red,Altered,Male,1,Adult,1,1,1
A775943,Transfer,Rare,Brown,Intact,Female,1,Young,1,1,1
A759451,Return to Owner,Rare,Red,Intact,Male,1,Young,1,1,0
A696717,Adoption,Pit Bull,Blue,Altered,Female,1,Adult,1,1,0
A715893,Return to Owner,Labrador Retriever,Black,Altered,Male,1,Young,1,1,0
A736806,Adoption,Pit Bull,Brown Brindle,Altered,Male,1,Adult,1,1,1
A769185,Transfer,Rare,Red,Intact,Female,1,Young,1,0,0
A743954,Return to Owner,Rare,Brown Brindle,Intact,Male,1,Senior,1,1,0
A784665,Return to Owner,Rare,Tan,Altered,Female,1,Young,1,1,0
A685249,Died,Rare,Red,Altered,Male,1,Senior,1,0,0
A675362,Transfer,Labrador Retriever,Rare,Intact,Male,0,Adult,1,0,0
A740335,Adoption,Labrador Retriever,Black,Altered,Female,1,Adult,0,1,0
A676817,Transfer,Pit Bull,White,Altered,Male,1,Adult,1,1,0
A767555,Transfer,Labrador Retriever,Brown Brindle,Intact,Male,0,Young,1,1,0
A670525,Transfer,Rare,Black,Altered,Male,1,Adult,1,1,1
A745160,Transfer,Chihuahua Shorthair,Black,Altered,Male,0,Young,1,0,0
A721093,Return to Owner,German Shepherd,Black,Intact,Male,1,Adult,0,1,0
A765250,Died,Pit Bull,White,Altered,Male,1,Young,1,1,0
A735188,Return to Owner,Rare,Tricolor,Altered,Female,1,Senior,1,0,0
A460100,Return to Owner,Rare,Rare,Altered,Male,1,Senior,1,1,0
A688773,Return to Owner,Rare,White,Altered,Male,1,Adult,1,1,0
A779002,Return to Owner,Rare,White,Altered,Male,1,Young,1,1,0
A531069,Return to Owner,Rare,Rare,Altered,Male,1,Senior,1,1,0
A729767,Adoption,Rare,White,Altered,Female,1,Young,1,1,1
